vertex_id,part_hint,mds0_norm,mds1_norm,mds2_norm,atlas_u_norm,atlas_v_norm
12502,right_lower_arm,0.89465976,0.65583599,0.40997639,0.89465976,0.34416401
12503,right_lower_arm,0.88165683,0.64102286,0.41147333,0.88165683,0.35897714
12504,right_lower_arm,0.87804550,0.62725818,0.50844866,0.87804550,0.37274182
12505,right_lower_arm,0.90187240,0.64892894,0.58000368,0.90187240,0.35107106
12506,right_lower_arm,0.87916696,0.62680537,0.53876549,0.87916696,0.37319463
12507,right_lower_arm,0.86525220,0.63229477,0.50652289,0.86525220,0.36770523
12508,right_lower_arm,0.87553257,0.62808913,0.52375525,0.87553257,0.37191087
12509,right_lower_arm,0.87590218,0.62801892,0.52796811,0.87590218,0.37198108
12510,right_lower_arm,0.87359273,0.62919837,0.49534452,0.87359273,0.37080163
12511,right_lower_arm,0.86921525,0.63102108,0.48524943,0.86921525,0.36897892
12512,right_lower_arm,0.87753177,0.62735111,0.51121461,0.87753177,0.37264889
12513,right_lower_arm,0.87309885,0.62913609,0.50272673,0.87309885,0.37086391
12514,right_lower_arm,0.88850152,0.62978333,0.60271168,0.88850152,0.37021667
12515,right_lower_arm,0.88306856,0.62946606,0.58440572,0.88306856,0.37053394
12516,right_lower_arm,0.88605744,0.63018441,0.59615892,0.88605744,0.36981559
12517,right_lower_arm,0.89404500,0.62996548,0.61911047,0.89404500,0.37003452
12518,right_lower_arm,0.89158040,0.63111615,0.61380887,0.89158040,0.36888385
12519,right_lower_arm,0.88605404,0.62908894,0.59292901,0.88605404,0.37091106
12520,right_lower_arm,0.88970232,0.62926924,0.60502338,0.88970232,0.37073076
12521,right_lower_arm,0.88747418,0.62885189,0.59681380,0.88747418,0.37114811
12522,right_lower_arm,0.87879819,0.62943697,0.56647396,0.87879819,0.37056303
12523,right_lower_arm,0.86912066,0.63254648,0.53754973,0.86912066,0.36745352
12524,right_lower_arm,0.87168616,0.63212508,0.54870206,0.87168616,0.36787492
12525,right_lower_arm,0.88016909,0.62872672,0.56871063,0.88016909,0.37127328
12526,right_lower_arm,0.86434871,0.63297039,0.47647321,0.86434871,0.36702961
12527,right_lower_arm,0.86101347,0.63395512,0.48894656,0.86101347,0.36604488
12528,right_lower_arm,0.86729020,0.63137943,0.49645102,0.86729020,0.36862057
12529,right_lower_arm,0.86822766,0.63123423,0.48927119,0.86822766,0.36876577
12530,right_lower_arm,0.85395110,0.63797593,0.49515173,0.85395110,0.36202407
12531,right_lower_arm,0.85856962,0.63509464,0.47526050,0.85856962,0.36490536
12532,right_lower_arm,0.86137480,0.63430059,0.46497810,0.86137480,0.36569941
12533,right_lower_arm,0.86042452,0.63454545,0.46897665,0.86042452,0.36545455
12534,right_lower_arm,0.85645801,0.63616729,0.46054202,0.85645801,0.36383271
12535,right_lower_arm,0.86745054,0.63367897,0.44867146,0.86745054,0.36632103
12536,right_lower_arm,0.87256360,0.63490617,0.43555322,0.87256360,0.36509383
12537,right_lower_arm,0.87842876,0.63770801,0.42380434,0.87842876,0.36229199
12538,right_lower_arm,0.86361772,0.63549244,0.43783554,0.86361772,0.36450756
12539,right_lower_arm,0.87947637,0.63877189,0.41994742,0.87947637,0.36122811
12540,right_lower_arm,0.87790108,0.64100474,0.40873870,0.87790108,0.35899526
12541,right_lower_arm,0.87564194,0.63888502,0.41624743,0.87564194,0.36111498
12542,right_lower_arm,0.84196293,0.64241660,0.43217421,0.84196293,0.35758340
12543,right_lower_arm,0.85088950,0.63844198,0.45668489,0.85088950,0.36155802
12544,right_lower_arm,0.85288095,0.63774508,0.45038241,0.85288095,0.36225492
12545,right_lower_arm,0.85399491,0.63746810,0.44567665,0.85399491,0.36253190
12546,right_lower_arm,0.84817141,0.63973099,0.44260105,0.84817141,0.36026901
12547,right_lower_arm,0.86008757,0.63712686,0.42842183,0.86008757,0.36287314
12548,right_lower_arm,0.86570483,0.63792479,0.41711789,0.86570483,0.36207521
12549,right_lower_arm,0.85640520,0.63881272,0.41878179,0.85640520,0.36118728
12550,right_lower_arm,0.86512929,0.64560866,0.37764093,0.86512929,0.35439134
12551,right_lower_arm,0.87218010,0.64024180,0.40732834,0.87218010,0.35975820
12552,right_lower_arm,0.87326229,0.64132768,0.40341723,0.87326229,0.35867232
12553,right_lower_arm,0.86844879,0.64167798,0.39783144,0.86844879,0.35832202
12554,right_lower_arm,0.87652969,0.67892110,0.41981423,0.87652969,0.32107890
12555,right_lower_arm,0.87095302,0.68056911,0.43551576,0.87095302,0.31943089
12556,right_lower_arm,0.88436002,0.67320818,0.44166416,0.88436002,0.32679182
12557,right_lower_arm,0.88902366,0.66942692,0.45982447,0.88902366,0.33057308
12558,right_lower_arm,0.88712722,0.67096078,0.45252472,0.88712722,0.32903922
12559,right_lower_arm,0.88486981,0.67068052,0.47237769,0.88486981,0.32931948
12560,right_lower_arm,0.87960202,0.67492402,0.45391014,0.87960202,0.32507598
12561,right_lower_arm,0.88100737,0.67561501,0.40449396,0.88100737,0.32438499
12562,right_lower_arm,0.88244820,0.67369628,0.39939058,0.88244820,0.32630372
12563,right_lower_arm,0.89038837,0.66779190,0.42280200,0.89038837,0.33220810
12564,right_lower_arm,0.88857704,0.66989374,0.42612615,0.88857704,0.33010626
12565,right_lower_arm,0.88168871,0.67526472,0.43151680,0.88168871,0.32473528
12566,right_lower_arm,0.84431964,0.66316319,0.48532960,0.84431964,0.33683681
12567,right_lower_arm,0.84187400,0.66106015,0.48437735,0.84187400,0.33893985
12568,right_lower_arm,0.85191560,0.65573430,0.51065052,0.85191560,0.34426570
12569,right_lower_arm,0.85451680,0.65875041,0.51023632,0.85451680,0.34124959
12570,right_lower_arm,0.84014046,0.66018373,0.48270458,0.84014046,0.33981627
12571,right_lower_arm,0.83516866,0.64847475,0.46370986,0.83516866,0.35152525
12572,right_lower_arm,0.84082866,0.64282894,0.43736845,0.84082866,0.35717106
12573,right_lower_arm,0.84585977,0.64054883,0.45236713,0.84585977,0.35945117
12574,right_lower_arm,0.84614497,0.65739495,0.49787107,0.84614497,0.34260505
12575,right_lower_arm,0.85397816,0.65290785,0.51884830,0.85397816,0.34709215
12576,right_lower_arm,0.85263276,0.64071083,0.50624555,0.85263276,0.35928917
12577,right_lower_arm,0.85015333,0.63985151,0.48870832,0.85015333,0.36014849
12578,right_lower_arm,0.84614056,0.64143372,0.47800213,0.84614056,0.35856628
12579,right_lower_arm,0.85008878,0.65550244,0.50785923,0.85008878,0.34449756
12580,right_lower_arm,0.84485024,0.64467049,0.48971578,0.84485024,0.35532951
12581,right_lower_arm,0.85102707,0.66828543,0.48395467,0.85102707,0.33171457
12582,right_lower_arm,0.84838307,0.66612941,0.48574594,0.84838307,0.33387059
12583,right_lower_arm,0.85869503,0.66151452,0.51024008,0.85869503,0.33848548
12584,right_lower_arm,0.85071254,0.66051280,0.50075459,0.85071254,0.33948720
12585,right_lower_arm,0.89156568,0.63021314,0.61294651,0.89156568,0.36978686
12586,right_lower_arm,0.88868725,0.63223183,0.60742968,0.88868725,0.36776817
12587,right_lower_arm,0.89421642,0.63019776,0.61988991,0.89421642,0.36980224
12588,right_lower_arm,0.89707363,0.63043350,0.62838167,0.89707363,0.36956650
12589,right_lower_arm,0.89916807,0.63024181,0.63418436,0.89916807,0.36975819
12590,right_lower_arm,0.90172237,0.63001132,0.64073086,0.90172237,0.36998868
12591,right_lower_arm,0.89735520,0.63039339,0.62916052,0.89735520,0.36960661
12592,right_lower_arm,0.90194106,0.62991554,0.64122146,0.90194106,0.37008446
12593,right_lower_arm,0.92363316,0.62988055,0.67734802,0.92363316,0.37011945
12594,right_lower_arm,0.92351747,0.62991077,0.67701089,0.92351747,0.37008923
12595,right_lower_arm,0.92509234,0.62919891,0.68272656,0.92509234,0.37080109
12596,right_lower_arm,0.92873025,0.62809575,0.69028533,0.92873025,0.37190425
12597,right_lower_arm,0.92576760,0.62937295,0.68085217,0.92576760,0.37062705
12598,right_lower_arm,0.92809707,0.62804937,0.69109291,0.92809707,0.37195063
12599,right_lower_arm,0.93161446,0.62709683,0.69781524,0.93161446,0.37290317
12600,right_lower_arm,0.92825985,0.62799555,0.69149423,0.92825985,0.37200445
12601,right_lower_arm,0.92826378,0.62807560,0.69075030,0.92826378,0.37192440
12602,right_lower_arm,0.92801046,0.62885112,0.68386179,0.92801046,0.37114888
12603,right_lower_arm,0.93105227,0.62693697,0.69972908,0.93105227,0.37306303
12604,right_lower_arm,0.89529490,0.63551861,0.45204124,0.89529490,0.36448139
12605,right_lower_arm,0.89422822,0.63572586,0.44970846,0.89422822,0.36427414
12606,right_lower_arm,0.89420241,0.63067698,0.47126043,0.89420241,0.36932302
12607,right_lower_arm,0.89370453,0.63259244,0.46172184,0.89370453,0.36740756
12608,right_lower_arm,0.90014660,0.63313478,0.46751931,0.90014660,0.36686522
12609,right_hand,0.97608870,0.58293229,0.71133065,0.97608870,0.41706771
12610,right_lower_arm,0.93444735,0.62751937,0.68189609,0.93444735,0.37248063
12611,right_hand,0.95813501,0.57736665,0.79770362,0.95813501,0.42263335
